Time,Average,MvgAvg,Sum,Med
821.422304153,89.92734375,95.27384375,1726605,16.0
821.560902119,104.23125,95.385671875,2001240,20.0
821.712902069,102.35859375,95.495109375,1965285,19.0
821.860290051,98.29453125,95.520609375,1887255,18.0
822.009638071,102.796875,95.635625,1973700,20.0
822.06133008,104.21796875,95.784375,2000985,19.0
822.15666914,98.70625,95.8130625,1895160,18.0
822.309670925,107.7109375,96.030078125,2068050,21.0
822.451797009,97.909375,96.051328125,1879860,19.0
822.555551052,99.821875,96.10896875,1916580,20.0
822.709393978,111.12421875,96.39796875,2133585,21.0
822.852926016,107.16640625,96.6205625,2057595,21.0
822.99793005,102.7171875,96.760546875,1972170,20.0
823.089731932,103.66015625,96.913546875,1990275,20.0
823.199717045,93.3671875,96.862546875,1792650,18.0
823.293451071,94.54921875,96.83625,1815345,19.0
823.388087988,93.69921875,96.783390625,1799025,18.0
823.488909006,98.334375,96.817921875,1888020,19.0
823.589090109,97.84296875,96.845015625,1878585,18.0
823.688452005,88.559375,96.706359375,1700340,16.0
823.791805983,98.53359375,96.77728125,1891845,19.0
823.941394091,86.81953125,96.598515625,1666935,17.0
823.992660999,92.75625,96.543796875,1780920,17.0
824.140768051,87.6296875,96.387078125,1682490,16.0
824.191643953,86.36796875,96.20034375,1658265,16.0
824.28797102,88.4796875,96.069921875,1698810,17.0
824.387647152,93.93828125,96.0404375,1803615,17.0
824.528028965,93.75234375,96.021046875,1800045,17.0
824.621998072,90.75078125,95.944546875,1742415,17.0
824.773873091,98.56015625,96.0149375,1892355,19.0
824.824366093,101.61484375,96.14775,1951005,19.0
824.973868132,106.5421875,96.3676875,2045610,20.0
825.031917095,96.62109375,96.399828125,1855125,18.0
825.122864008,95.10703125,96.382296875,1826055,18.0
825.261903048,108.6140625,96.677671875,2085390,21.0
825.355010986,98.759375,96.773828125,1896180,19.0
825.495239973,94.73515625,96.7990625,1818915,18.0
825.590779066,92.37109375,96.7565625,1773525,17.0
825.745761156,95.45234375,96.76771875,1832685,17.0
825.884917021,96.51484375,96.799859375,1853085,18.0
826.025464058,89.84765625,96.690953125,1725075,17.0
826.174299002,92.65,96.646859375,1778880,18.0
826.233886957,90.3125,96.55575,1734000,17.0
826.32448101,93.81875,96.650046875,1801320,18.0
826.474065065,87.35078125,96.652171875,1677135,16.0
826.622581005,95.678125,96.659078125,1837020,18.0
826.759732962,98.71953125,96.613390625,1895415,18.0
826.909484148,95.34609375,96.577796875,1830645,18.0
826.960822105,103.15546875,96.751515625,1980585,19.0
827.058887005,100.02109375,96.9563125,1920405,19.0
827.154276133,97.590625,97.109578125,1873740,19.0
827.293429136,93.18125,96.888578125,1789080,18.0
827.387496948,94.97421875,96.740890625,1823505,19.0
827.543190002,100.41953125,96.783390625,1928055,19.0
827.684216976,94.084375,96.609140625,1806420,18.0
827.823421955,101.734375,96.55946875,1953300,19.0
827.925931931,106.39609375,96.713265625,2042805,20.0
828.073704004,99.5828125,96.550703125,1911990,19.0
828.128793955,95.31953125,96.49890625,1830135,18.0
828.220227957,96.43515625,96.431171875,1851555,18.0
828.365499973,102.6640625,96.26196875,1971150,20.0
828.454031944,93.39375,95.986515625,1793160,17.0
828.594171047,101.25625,95.957296875,1944120,19.0
828.742841959,99.51640625,95.874421875,1910715,18.0
828.888252974,94.65546875,95.9001875,1817385,18.0
829.045472145,93.5265625,95.879734375,1795710,18.0
829.189260006,99.078125,95.9873125,1902300,18.0
829.340825081,99.27734375,96.006171875,1906125,18.0
829.483798981,92.33125,95.8959375,1772760,17.0
829.627697945,95.3328125,96.03140625,1830390,18.0
829.777265072,93.99140625,95.9405625,1804635,18.0
829.91703701,92.68984375,96.05796875,1779645,18.0
830.061455011,95.00078125,96.102859375,1824015,18.0
830.154544115,98.5203125,96.320671875,1891590,18.0
830.310292959,100.15390625,96.596390625,1922955,19.0
830.456043959,97.1921875,96.770640625,1866090,19.0
830.605972052,96.7140625,96.82615625,1856910,18.0
830.660491943,92.37109375,96.79853125,1773525,18.0
830.759686947,92.10546875,96.825625,1768425,18.0
830.910958052,92.4109375,96.702640625,1774290,18.0
831.049968958,92.596875,96.52228125,1777860,18.0
831.19205904,93.64609375,96.264359375,1798005,18.0
831.340494156,93.871875,96.209375,1802340,18.0
831.393765926,94.68203125,96.200875,1817895,18.0
831.491795063,94.3765625,95.916125,1812030,18.0
831.586970091,95.4125,95.8491875,1831920,18.0
831.725969076,94.04453125,95.835375,1805655,18.0
831.820323944,93.5265625,95.858484375,1795710,18.0
831.959195137,93.75234375,95.824484375,1800045,18.0
832.053596973,93.81875,95.7705625,1801320,18.0
832.194065094,94.3765625,95.861140625,1812030,18.0
